# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
BOL,1960,1966,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,1970,2009,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,2014,2014,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,2017,2017,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,2020,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,1971,2000,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BOL,1980,1984,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BOL,1986,1993,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BOL,1960,1969,default,external_bond,CRAG,BoC creditor: FC bonds
BOL,1989,1997,default,external_bond,CRAG,BoC creditor: FC bonds
BOL,1982,1982,default,domestic,CRAG,BoC creditor: LC debt
BOL,1986,2001,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BIH,1992,1998,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BIH,2000,2000,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BIH,1992,2000,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BIH,2002,2002,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BIH,2009,2009,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BIH,2016,2017,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BIH,2020,2020,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BIH,1992,1997,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BIH,1999,2000,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BIH,1992,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BWA,2009,2009,paris_club,paris_club,CRAG,BoC creditor: China
BWA,2018,2018,paris_club,paris_club,CRAG,BoC creditor: China
BWA,1979,1979,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BWA,1986,2006,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BWA,2008,2009,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BWA,2017,2018,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BWA,2020,2020,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BWA,1988,1995,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BWA,2020,2020,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,1961,1964,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BRA,1982,1983,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BRA,1987,1993,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BRA,1961,1965,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BRA,1975,2000,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BRA,2004,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BRA,1961,1961,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BRA,1983,1994,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BRA,1961,1961,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,1963,1963,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,1965,1965,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,1971,2000,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,2003,2003,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,2007,2014,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,2017,2017,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BRA,1983,1984,default,domestic,CRAG,BoC creditor: LC debt
BRA,1986,1987,default,domestic,CRAG,BoC creditor: LC debt
BRA,1990,1991,default,domestic,CRAG,BoC creditor: LC debt
BRA,1992,1994,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRA,1996,2000,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRA,2015,2015,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRA,2022,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGR,1990,1992,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BGR,1994,1994,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BGR,1990,2003,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BGR,2005,2009,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BGR,2013,2014,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
